latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
26.94941,89.25967,325.63,0.63,0.72,2024-01-01,0614,N20,VIIRS,n,2,286.46,4.53,D,0
26.906,89.30315,326.99,0.63,0.72,2024-01-01,0614,N20,VIIRS,n,2,287.35,10.8,D,0
26.91164,89.29826,355.85,0.63,0.72,2024-01-01,0614,N20,VIIRS,l,2,287.33,10.8,D,0
26.94957,89.25794,328.93,0.64,0.72,2024-01-01,0614,N20,VIIRS,n,2,286.7,4.8,D,0
26.85058,91.51533,335.84,0.48,0.4,2024-01-03,0716,N20,VIIRS,n,2,293.85,6.1,D,0
26.85099,91.51283,329.89,0.48,0.4,2024-01-03,0716,N20,VIIRS,n,2,293.45,4.49,D,0
26.93834,89.25383,328.54,0.44,0.39,2024-01-04,0658,N20,VIIRS,n,2,293.03,10.27,D,0
27.31915,91.854,334.84,0.38,0.36,2024-01-04,0658,N20,VIIRS,n,2,284.31,4.22,D,0
26.91556,89.2895,327.13,0.44,0.39,2024-01-04,0658,N20,VIIRS,n,2,292.39,2.12,D,0
26.83971,90.46834,326.29,0.32,0.55,2024-01-07,0742,N20,VIIRS,n,2,295.93,1.65,D,0
27.2851,91.91321,329.23,0.39,0.36,2024-01-09,0704,N20,VIIRS,n,2,288.47,3.91,D,0
26.90472,89.30849,330.55,0.42,0.45,2024-01-10,0645,N20,VIIRS,n,2,289.01,3.28,D,0
27.3824,90.56085,312.93,0.5,0.66,2024-01-11,1852,N20,VIIRS,n,2,279.28,3.24,N,0
27.38075,90.56755,301.26,0.5,0.66,2024-01-11,1852,N20,VIIRS,n,2,276.51,2.07,N,0
27.38119,90.5615,318.51,0.5,0.66,2024-01-11,1852,N20,VIIRS,n,2,278.63,2.07,N,0
27.38673,90.5693,297.87,0.5,0.66,2024-01-11,1852,N20,VIIRS,n,2,279.34,2.41,N,0
27.38701,90.56538,319.85,0.5,0.66,2024-01-11,1852,N20,VIIRS,n,2,280.63,2.41,N,0
27.38207,90.56595,328.18,0.5,0.66,2024-01-11,1852,N20,VIIRS,n,2,279.81,6.14,N,0
27.38825,90.5648,304.54,0.5,0.66,2024-01-11,1852,N20,VIIRS,n,2,279.3,3.24,N,0
27.38537,90.571,339.13,0.65,0.73,2024-01-12,0608,N20,VIIRS,n,2,293.83,11.83,D,0
27.38664,90.57086,334.74,0.65,0.73,2024-01-12,0608,N20,VIIRS,n,2,293,6.63,D,0
